Date,Open,High,Low,Close,Adj Close,Volume,Daily Change,
22/01/2020,0.9676,0.9746,0.9604,0.9702,0.894065,19037783,0.64%,
23/01/2020,0.9694,0.9846,0.9538,0.974,0.897567,26655960,0.39%,
24/01/2020,0.9826,0.9936,0.9576,0.964,0.888352,58021896,-1.03%,
27/01/2020,0.94,0.958,0.9306,0.9462,0.871949,24501230,-1.85%,
28/01/2020,0.9482,0.9516,0.9276,0.9398,0.866051,24473498,-0.68%,
29/01/2020,0.9442,0.9614,0.94,0.9478,0.873423,15395761,0.85%,
30/01/2020,0.9366,0.9458,0.9288,0.9458,0.87158,19256895,-0.21%,
31/01/2020,0.8952,0.8952,0.814,0.814,0.750123,127357373,-13.94%,
3/02/2020,0.8232,0.8334,0.8008,0.8208,0.756389,53771031,0.84%,
4/02/2020,0.83,0.848,0.8212,0.8354,0.769844,40131158,1.78%,
5/02/2020,0.8354,0.844,0.8234,0.832,0.76671,66081735,-0.41%,
6/02/2020,0.845,0.8588,0.8402,0.8456,0.779243,39606535,1.63%,
7/02/2020,0.8402,0.845,0.8266,0.845,0.77869,33691570,-0.07%,
10/02/2020,0.8422,0.8526,0.834,0.848,0.781455,19563824,0.36%,
11/02/2020,0.854,0.855,0.8314,0.8398,0.773898,26525312,-0.97%,
12/02/2020,0.8426,0.8756,0.8366,0.857,0.789749,34074759,2.05%,
13/02/2020,0.853,0.8588,0.8454,0.8578,0.790486,20459102,0.09%,
14/02/2020,0.8566,0.8624,0.8516,0.8526,0.785694,13068138,-0.61%,
17/02/2020,0.856,0.862,0.852,0.862,0.794356,12568631,1.10%,
18/02/2020,0.861,0.9124,0.8598,0.8758,0.807073,54843757,1.60%,
19/02/2020,0.8766,0.893,0.8704,0.889,0.819237,25318206,1.51%,
20/02/2020,0.8878,0.8898,0.8656,0.8656,0.797674,26663994,-2.63%,
21/02/2020,0.862,0.8738,0.852,0.8712,0.802834,35544987,0.65%,
24/02/2020,0.8488,0.8504,0.8274,0.8432,0.777031,49930560,-3.21%,
25/02/2020,0.8418,0.8432,0.802,0.8054,0.742198,37446989,-4.48%,
26/02/2020,0.8034,0.838,0.7992,0.8276,0.762656,45546550,2.76%,
27/02/2020,0.8096,0.825,0.7872,0.8016,0.738696,51624785,-3.14%,
28/02/2020,0.78,0.7912,0.768,0.7912,0.729112,51396816,-1.30%,
2/03/2020,0.8058,0.8064,0.7528,0.7792,0.718054,42239357,-1.52%,
